map_key,from_node_key,to_node_key,distance_cm,bidirectional,accessible
floor1,n-entrance,j-lobby,,true,true
floor1,j-lobby,wc-1,,true,true
floor1,j-lobby,n-corridor-1,,true,true
floor1,n-corridor-1,ex-tyranno,,true,true
floor1,n-corridor-1,ex-triceratops,,true,true
neuti4,s-start,j-bend,,true,true
neuti4,j-bend,d-kitchen,,true,true
neuti4f,n-a,n-b,,true,true
neuti4f,n-b,n-c,,true,true
neuti4f,n-c,n-d,,true,true
neuti4f,n-d,n-e,,true,true
neuti4f,n-d,n-j,,true,true
neuti4f,n-e,n-f,,true,true
neuti4f,n-e,n-h,,true,true
neuti4f,n-f,n-g,,true,true
neuti4f,n-g,n-h,,true,true
neuti4f,n-h,n-i,,true,true
neuti4f,n-i,n-j,,true,true
neuti4f,n-i,n-m,,true,true
neuti4f,n-j,n-k,,true,true
neuti4f,n-k,n-l,,true,true
neuti4f,n-l,n-m,,true,true
